Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
MSI,Laptop MSI Modern 15 A5M-238VN (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ 15.6 FHD IPS/ Win11) - Hàng Chính Hãng,15.6,AMD Ryzen 5,8GB,SSD: 512GB,15990000,14990000,https://tiki.vn/laptop-msi-modern-15-a5m-238vn-amd-r5-5500u-8gb-ddr4-512gb-ssd-15-6-fhd-ips-win11-hang-chinh-hang-p155830354.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.155830355&itm_medium=CPC&itm_source=tiki-reco&spid=155830355,Tiki
Dell,Laptop Dell Inspiron 14 5415 TX4H61 (AMD R7-5700U/ 8GB DDR4/ 512GB SSD/ 14 FHD/ Win11 + Office) - Hàng Chính Hãng,14,AMD Ryzen 7,8GB,SSD: 512GB,20890000,20890000,https://tiki.vn/laptop-dell-inspiron-14-5415-tx4h61-amd-r7-5700u-8gb-ddr4-512gb-ssd-14-fhd-win11-office-hang-chinh-hang-p155831426.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.155831427&itm_medium=CPC&itm_source=tiki-reco&spid=155831427,Tiki
Dell,Laptop Dell Vostro 3405 (V4R53500U003W) (R5 3500U 8GB RAM/512GB SSD/14.0 inch FHD/Win10/Ðen) - Hàng chính hãng,14,AMD Ryzen 5,8GB,SSD: 512GB,19617000,15690000,https://tiki.vn/laptop-dell-vostro-3405-v4r53500u003w-r5-3500u-8gb-ram-512gb-ssd-14-0-inch-fhd-win10-den-hang-chinh-hang-p133697603.html?spid=133697604,Tiki
Lenovo,"Laptop Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/13.3""Q/Win10/(82EV0016VN)/Tr<U+1EAF>ng - Hàng chính hãng",13.3,Intel Core i5,16GB,SSD: 512GB,28990000,28990000,https://tiki.vn/laptop-lenovo-yoga-slim-7-carbon-13itl5-i5-1135g7-16gb-512gb-13-3-q-win10-82ev0016vn-trang-hang-chinh-hang-p136045729.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.136045730&itm_medium=CPC&itm_source=tiki-reco&spid=136045730,Tiki
Chuwi,Laptop CHUWI HeroBook Pro Intel Gemini Lake N4020 Intel UHD Graphics 600  8GB 256GB SSD 128GB TF Card - Hàng Chính Hãng,14.1,Intel Celeron,8GB,SSD: 256GB,10390000,8590000,https://tiki.vn/laptop-chuwi-herobook-pro-intel-gemini-lake-n4020-intel-uhd-graphics-600-8gb-256gb-ssd-128gb-tf-card-hang-chinh-hang-p177639585.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.177639586&itm_medium=CPC&itm_source=tiki-reco&spid=177639586,Tiki
Dell,"Laptop Dell Gaming G15 5511 P105F006BGR (Core i7-11800H/ 16GB DDR4/ 512GB SSD/ RTX 3050Ti 4GB GDDR6/ 15.6 FHD, 120Hz/ Win11 + Office) - Hàng Chính Hãng",15.6,Intel Core i7,16GB,SSD: 512GB,33990000,33990000,https://tiki.vn/laptop-dell-gaming-g15-5511-p105f006bgr--core-i7-11800h--16gb-ddr4--512gb-ssd--rtx-3050ti-4gb-gddr6--15-6-fhd--120hz--win11---office----hang-chinh-hang-p138194102.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.138194103&itm_medium=CPC&itm_source=tiki-reco&spid=138194103,Tiki
Dell,Laptop Dell Latitude 3520 70251603 (Core i3-1115G4/ 4 GB/ 256GB SSD/ 15.6HD/ Fedora) - Hàng Chính Hãng,15.6,Intel Core i3,4GB,SSD: 256GB,16237000,12490000,https://tiki.vn/laptop-dell-latitude-3520-70251603--core-i3-1115g4--4-gb--256gb-ssd--15-6hd--fedora----hang-chinh-hang-p108924121.html?spid=146222938,Tiki
HP,Laptop HP ProBook 430 G8 (2H0N6PA) (i5 1135G7/4GB RAM/256GB SSD /13.3 FHD/FP/Win/B<U+1EA1>c) Hàng chính hãng,13.3,Intel Core i5,4GB,SSD: 256GB,19990000,17500000,https://tiki.vn/laptop-hp-probook-430-g8-2h0n6pa-i5-1135g7-4gb-ram-256gb-ssd-13-3-fhd-fp-win-bac-hang-chinh-hang-p102768938.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.136840868&itm_medium=CPC&itm_source=tiki-reco&spid=136840868,Tiki
Huawei,Máy Tính Xách Tay HUAWEI MateBook 14 (8GB/512GB) | Intel Core Th<U+1EBF> H<U+1EC7> Th<U+1EE9> 11 | Màn Hình HUAWEI 3:2 Fullview 2k | Nút Ngu<U+1ED3>n Vân Tay | Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 512GB,20990000,20990000,https://tiki.vn/may-tinh-xach-tay-huawei-matebook-14-8gb-512gb-intel-core-the-he-thu-11-man-hinh-huawei-3-2-fullview-2k-nut-nguon-van-tay-hang-chinh-hang-p160309787.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.160309789&itm_medium=CPC&itm_source=tiki-reco&spid=160309789,Tiki
Chuwi,Laptop GemiBook Pro Intel Celeron Processor N5100  Intel UHD Graphics 600 14.0 inch 8GB 256GB SSD Max 1TB SSD  - Hàng chính hãng,14,Intel Celeron,8GB,SSD: 256GB,10990000,8800000,https://tiki.vn/laptop-gemibook-pro-intel-celeron-processor-n5100-intel-uhd-graphics-600-14-0-inch-8gb-256gb-ssd-max-1tb-ssd-p177614108.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.177614109&itm_medium=CPC&itm_source=tiki-reco&spid=177614109,Tiki
Dell,Laptop Dell Vostro 3405 V4R53500U001W (AMD R5-3500U/ 4GB/ 256GB PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,14,AMD Ryzen 5,4GB,SSD: 256GB,17537000,13490000,https://tiki.vn/laptop-dell-vostro-3405-v4r53500u001w-amd-r5-3500u-4gb-256gb-pcie-14-fhd-win10-hang-chinh-hang-p118526595.html?spid=134364068,Tiki
Lenovo,Laptop Lenovo V15 IIL 82C5A00QVN (Core i5-1035G1/ 4GB DDR4/ 512GB SSD/ MX330 2GB/ 15.6 FHD/ DOS) - Hàng Chính Hãng,15.6,Intel Core i5,4GB,SSD: 512GB,14000000,14000000,https://tiki.vn/laptop-lenovo-v15-iil-82c5a00qvn-core-i5-1035g1-4gb-ddr4-512gb-ssd-mx330-2gb-15-6-fhd-dos-hang-chinh-hang-p141774405.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.164771373&itm_medium=CPC&itm_source=tiki-reco&spid=164771373,Tiki
Dell,"Laptop Dell Gaming G15 5511 P105F006AGR (Core i7-11800H/ 8GB DDR4/ 512GB SSD/ RTX 3050 4GB GDDR6/ 15.6 FHD, 120Hz/ Win11 + Office) - Hàng Chính Hãng",15.6,Intel Core i7,8GB,SSD: 512GB,28990000,28990000,https://tiki.vn/laptop-dell-gaming-g15-5511-p105f006agr--core-i7-11800h--8gb-ddr4--512gb-ssd--rtx-3050-4gb-gddr6--15-6-fhd--120hz--win11---office----hang-chinh-hang-p138189605.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.138189606&itm_medium=CPC&itm_source=tiki-reco&spid=138189606,Tiki
Dell,Máy tính xách tay Laptop Dell Latitude 3420 (Intel Core i5-1135G7 | 14 Inch | RAM 8GB | 256GB SSD NVMe | Intel Iris Xe Graphics | Fedora Os) - Hàng chính hãng,14,Intel Core i5,8GB,SSD: 256GB,20000000,20000000,https://tiki.vn/may-tinh-xach-tay-laptop-dell-latitude-3420-intel-core-i5-1135g7-14-inch-ram-8gb-256gb-ssd-nvme-intel-iris-xe-graphics-fedora-os-hang-chinh-hang-p106318753.html?spid=106318754,Tiki
HP,Laptop HP Pavilion 15-eg0505TU (46M02PA) ( i5-1135G7/8GB RAM/512GB SSD/15.6 FHD/Win11/Vàng) Hàng Chính Hãng,15.6,Intel Core i5,8GB,SSD: 512GB,18990000,17690000,https://tiki.vn/laptop-hp-pavilion-15-eg0505tu-46m02pa-i5-1135g7-8gb-ram-512gb-ssd-15-6-fhd-win11-vang-hang-chinh-hang-p137014231.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.163870117&itm_medium=CPC&itm_source=tiki-reco&spid=163870117,Tiki
Asus,Laptop Asus VivoBook A415EA-EB1474W (Core i5-1135G7/ 8GB/ 512GB SSD/ 14 FHD/ Win11) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 512GB,15490000,15490000,https://tiki.vn/laptop-asus-vivobook-a415ea-eb1474w-core-i5-1135g7-8gb-512gb-ssd-14-fhd-win11-hang-chinh-hang-p159626414.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.159626415&itm_medium=CPC&itm_source=tiki-reco&spid=159626415,Tiki
