Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Asus,Laptop ASUS VivoBook Pro M3401QA-KM040T,14,AMD Ryzen 7,8GB,SSD: 512GB,22990000,20290000,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3401qa-km040t.html,CellphoneS
Asus,Laptop Asus Gaming Rog Strix Scar 17 G733ZX LL016W,17.3,Intel Core i9,16GB,SSD: 1TB,95990000,89990000,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-scar-17-g733zx-ll016w.html,CellphoneS
Lenovo,Laptop Lenovo Yoga Slim 7I PRO 14IUH5,14,Intel Core i7,16GB,SSD: 1TB,35990000,34190000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-pro-14iuh5-82nh0011vn.html,CellphoneS
MSI,Laptop MSI Gaming Bravo 15 B5DD-027VN ,15.6,AMD Ryzen 5,8GB,SSD: 512GB,21990000,20900000,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-027vn.html,CellphoneS
Asus,Laptop ASUS VivoBook Flip 14 TM420UA-EC022T,14,AMD Ryzen 5,8GB,SSD: 512GB,18190000,16990000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua.html,CellphoneS
Lenovo,Laptop Lenovo Gaming Legion 5 15ARH05 82B100BJVN ,15.6,AMD Ryzen 7,8GB,SSD: 512GB,29990000,27400000,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-15arh05.html,CellphoneS
MSI,Laptop MSI Gaming Bravo 15 B5DD-028VN ,15.6,AMD Ryzen 7,8GB,SSD: 512GB,24990000,23590000,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-028vn.html,CellphoneS
Acer,Laptop Acer Swift 3X SF314-510G-57MR NX.A10SV.004,14,Intel Core i5,8GB,SSD: 512GB,22990000,20390000,https://cellphones.com.vn/laptop-acer-swift-3x-sf314.html,CellphoneS
Lenovo,Laptop Lenovo Yoga Slim 9 14ITL5,14,Intel Core i7,16GB,SSD: 1TB,51990000,45990000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-9-14itl5-82d1004jvn.html,CellphoneS
Lenovo,Laptop Lenovo Legion 5 15ACH6 82JU00DFVN,15.6,AMD Ryzen 7,8GB,SSD: 512GB,35990000,30990000,https://cellphones.com.vn/laptop-lenovo-legion-5-15ach6-82ju00dfvn.html,CellphoneS
Lenovo,Laptop Lenovo ideapad 5 Pro 14ANC6 82L7007YVN,14,AMD Ryzen 7,16GB,SSD: 512GB,24990000,24990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l7007yvn.html,CellphoneS
Apple,iMac 24 2021 M1 8GPU 8GB 512GB I Chính hãng Apple Vi<U+1EC7>t Nam,24,Apple M1,8GB,SSD: 512GB,45990000,42000000,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,CellphoneS
Acer,Laptop Acer Gaming Aspire 7 A715-42G-R4ST NH.QAYSV.004,15.6,AMD Ryzen 5,8GB,SSD: 256GB,19990000,18690000,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-ryzen-5-5500u.html,CellphoneS
Gigabyte,Laptop Gigabyte G5 KC-5S11130SH,15.6,Intel Core i5,16GB,SSD: 512GB,32990000,29990000,https://cellphones.com.vn/laptop-gigabyte-g5-kc-5s11130sh.html,CellphoneS
Lenovo,Laptop Lenovo ideapad 5 Pro 82L500LDVN,16,AMD Ryzen 5,16GB,SSD: 512GB,27990000,26490000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-82l500ldvn.html,CellphoneS
Dell,Laptop Dell Inspiron 15 3505 Y1N1T5,15.6,AMD Ryzen 5,8GB,SSD: 512GB,20490000,18490000,https://cellphones.com.vn/laptop-dell-inspiron-15-3505-y1n1t5.html,CellphoneS
Lenovo,Laptop Lenovo Legion 5 Pro 16ITH6H,16,Intel Core i7,16GB,SSD: 512GB,46990000,44990000,https://cellphones.com.vn/laptop-lenovo-legion-5-pro-16ith6h-82jd0046vn.html,CellphoneS
